id,text,nreposts,nlikes,nviews,tag
33425,"Не надо стесняться [включать камеры], я вас тоже стесняюсь. Это ещё вопрос, кто кого больше боится.",30,232,5899.0,Павлюткин_ВШЭ
33361,- Человеку нужно отдыхать между сеансами пытки.,45,209,6329.0,Неверов_ВШЭ
33302,"Просьба называть себя так, чтобы я мог вас идентифицировать, а не как-то вроде «Арагорн, сын Араторна».",61,303,6952.0,Павлюткин_ВШЭ
33292,"Мне столько всего нужно сделать, что просто хочется лечь и заплакать.",170,647,18669.0,Матвеева_ВШЭ
33286,"Сверхчеловек по Ницше не обижает слабого, так как это не по-поцански что ли.",81,395,8915.0,Золотухин_ВШЭ
33217,"П: «Кровожадный консерватор и монархист» - это я? Вы в чате написалиС: Нет, это про БисмаркаП: Слава богу.С: О ваших политических предпочтениях я, к сожалению, не имею понятия П: Я тоже о них понятия не имею...",66,393,9186.0,Ковалёв_ВШЭ
33213,"Итальянские папы, будучи заказчиками убранства своих резиденций, обладали вкусом явно большим, чем человек, убранство чьего дворца нам показали намедни.",50,250,6925.0,Дроздова_ВШЭ
33159,"Сейчас популярно мнение, что люди плохо воспринимают круговые диаграммы, но я считаю, что это просто заговор тех, кто не любит кружочки.",55,290,7731.0,Фурманов_ВШЭ
33124,С: Почему экран серый?П: Видимо программу писал очень грустный человек.,28,224,7404.0,Грищенко_ВШЭ
33090,"Корпоративная почта - это жуткая помойка. Туда приходит всё: кто зашёл в конференцию, кто вышел из конференции, кто что потерял, кто кого замещает, кто за какие закупки ведает. Если вы хотите сказать мне какую-то гадость, можете писать туда, я всё равно не увижу.",73,316,9765.0,Жаворонкова_ВШЭ
33088,"Сейчас я вам расскажу, почему я при проверке ваших эссе рыдала... от горя, не от счастья. Хотелось даже вырвать волосы... студентам, не себе, конечно.",75,297,8661.0,Жаворонкова_ВШЭ
32956,П: How did you spend your winter holidays?С: I learned how to live without studying. It`s a beautiful skill.,74,462,10877.0,General_English
32937,"Если вы воспринимаете экзамен, как страдание, вам надо к психологу.",98,306,9935.0,Егоров_ВШЭ
32882,"Семинар. Студент, отвечая у доски, закрыл собой камеру, включенную для людей на дистанте. Препод: Извини, но your ass закрывает всем обзор.",110,260,8428.0,Федоровых_ВШЭ
32870,"С: Ну, а СССР... П: Мы про нормальные страны! ",67,275,9268.0,Ковалев_ВШЭ
32866,"Итак, экзамен, любимое занятие студентов и преподавателей. Я смотрю на вас и некоторых людей вижу впервые.",46,275,8756.0,Кутырев_ВШЭ
32829,В искусство вообще идут люди с более или менее поехавшей кукухой.,115,412,11485.0,Егорова_ВШЭ
32797,"Староста, зафиксируй. На семинаре 23 студента и 2 человека.",63,387,8039.0,Минх_ВШЭ
32793,"Soon I will become a specialist in Cyberpunk 2077, because I have heard so many presentations about it. ",33,234,7491.0,Муравьёва_ВШЭ
32785,"*пара по английскому языку*С: Виктория Максимовна, может, хватит с нами уже по-английски разговаривать?",52,244,8447.0,Academic_English
32768,"Я вам выслал две статьи: одна моя, другая неправильная.",64,314,6451.0,Целуйко_ВШЭ
32759,"I don`t cope with stress, I live with it.",39,380,10091.0,Academic_English
32749,"Когда началась пандемия, многие преподаватели, в том числе и я, поставили свои столы к книжным шкафам, чтобы шкафы стали частью того, что преподаватели демонстрируют в Zoom. Понятно, что это мистификация. Вы когда-нибудь видели стол, стоящий спиной к книжному шкафу, да ещё и посреди комнаты, а не у стены или окна? Так не бывает. ",125,553,12526.0,Садыков_ВШЭ
32748,"По Гоффману, все мы пытаемся произвести впечатление. Например, я пытаюсь произвести на вас впечатление, что я читал Гоффмана и понимаю его.",54,309,7842.0,Садыков_ВШЭ
32739,"Раньше был коммунизм, теперь киберпанк.",52,227,8088.0,Дмитриев_ВШЭ
32736,"Ну да, я, конечно, понимаю. Вы на первом курсе еще не юристы, вы поэты.",40,219,6403.0,Скоробогатов_ВШЭ
32732,,56,233,12367.0,Бляхман_ВШЭ
32674,"Может я просто голограмма, а текст сочинила какая-то припадочная нейросеть. А за кадром здесь ещё рептилоиды. ",28,231,6417.0,Поселягин_ВШЭ
32672,"*Семинар в Zoom, преподаватель смотрит, кто хочет отвечать*- Так, вижу две лапки.",41,275,5808.0,Минх_ВШЭ
32666,Рождённый тратить копить не может. ,122,429,10075.0,Преподаватель_ВШЭ
32657,"- Сейчас, подождите, я кошку выпущу.*обращается к кошке*- И зачем ты тогда сюда заходишь? Ты зашла, чтобы потом обратно уйти? А зачем дверь закрыла?*возвращается*- У кого дети шумят, а у кого кошки. А если закрыть дверь, она прыгает на ручку и открывает ее. ",59,278,6828.0,Муравьёва_ВШЭ
32640,"П: Коллеги, всё понятно? Мы можем идти дальше?С: *молчание*П: Коллеги? Вы здесь? Или куда-то уже ушли?С: Да-да, всё понятно.П: Вы реагируйте на меня, а то я уже думаю, что я псих-одиночка, сама с собой разговариваю в окружении плюшевых котов. ",22,294,7886.0,Зангиева_ВШЭ
32635,"Язык тела говорит о том, что вы гуглите.",32,366,5898.0,Неверов_ВШЭ
32634,"*диалог со студенткой*- А откуда вы взяли эту информацию?- Ну, точно не у автора...- Божественное откровение, получается?",14,281,7296.0,Неверов_ВШЭ
32597,Вы видите демонстрэйшн оф май экрэйшн?,16,211,5019.0,Ахметбеков_ВШЭ
32567,П: Вы мою презентацию на экране видите?С: Нет.П: Мои соболезнования.,17,313,5538.0,Юркевич_ВШЭ
32561,"Аудирование онлайн проводить сложнее, чем в классе. У меня тут в прошлой группе кошка с собакой подрались на 25-м вопросе.",10,285,6199.0,Муравьёва_ВШЭ
32061,"Коллеги, было бы здорово, если бы вы себя иногда показывали, а то я так скоро совсем одичаю, глядя на кошечек, собачек и кроликов.",6,266,8713.0,Зангиева_ВШЭ
32045,"Добровольцев нет? Хорошо, тогда отвечать будет второй квадратик слева во второй строке сверху. ",13,289,7441.0,Зангиева_ВШЭ
32035,"*занятие в Зуме, преподаватель долго объясняет тему, затем задаёт вопросП: (имя студента) отвечает... и не жуёт при этом.С: Извините, я, пока вас слушала, проголодалась. И запуталась.",3,214,5845.0,Студент_ВШЭ
32017,*раздавая эссе*- Заберите свои «Войны и миры».,2,247,7515.0,Муравьёва_ВШЭ
31986,"В 19 веке не было спотифая, поэтому приходилось ходить за новинками музыки в оперу.",13,294,5361.0,Польской_ВШЭ
31969,Главная функция образования - поиск брачных партнеров.,13,368,9084.0,Калгин_ВШЭ
31955,"П: Так, а теперь перейдем к Платону...С, тихо: К гейскому гейству.П: Я слишком стара для этого. *пауза* Скачала я этот ваш тикток.",5,246,6627.0,Винкельман_ВШЭ
